bin,DPPC,W,CHOL,Tail,Gli,Fosf,ZNPC,Lipid,DPPC_smooth,W_smooth,CHOL_smooth,Tail_smooth,Gli_smooth,Fosf_smooth,ZNPC_smooth,Lipid_smooth
-67.64155471571856,0.0,0.9637291363126083,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
-67.14155471571856,0.0,0.95913153031954,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
-66.64155471571856,0.0,0.9590442321847493,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
-66.14155471571856,0.0,0.9585598734271772,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
-65.64155471571856,0.0,0.9583034960161282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597536536520407,0.0,0.0,0.0,0.0,0.0,0.0
-65.14155471571856,0.0,0.9605752005465671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591228664988323,0.0,0.0,0.0,0.0,0.0,0.0
-64.64155471571856,0.0,0.9594291979198246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591824000188893,0.0,0.0,0.0,0.0,0.0,0.0
-64.14155471571856,0.0,0.9578079388829162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589351413585228,0.0,0.0,0.0,0.0,0.0,0.0
-63.641554715718556,0.0,0.9586202773661907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589472221463253,0.0,0.0,0.0,0.0,0.0,0.0
-63.141554715718556,0.0,0.9593210366475619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591507302726121,0.0,0.0,0.0,0.0,0.0,0.0
-62.641554715718556,0.0,0.9591919657531985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588740833139383,0.0,0.0,0.0,0.0,0.0,0.0
-62.141554715718556,0.0,0.959339197292641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588560831885017,0.0,0.0,0.0,0.0,0.0,0.0
-61.641554715718556,0.0,0.9597079310739632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959236081626711,0.0,0.0,0.0,0.0,0.0,0.0
-61.141554715718556,0.0,0.958527759108125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959217577975098,0.0,0.0,0.0,0.0,0.0,0.0
-60.641554715718556,0.0,0.9594025295123083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592338765480474,0.0,0.0,0.0,0.0,0.0,0.0
-60.141554715718556,0.0,0.9582742821008027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959050339817568,0.0,0.0,0.0,0.0,0.0,0.0
-59.641554715718556,0.0,0.95826925568278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588363514955958,0.0,0.0,0.0,0.0,0.0,0.0
-59.141554715718556,0.0,0.9593638821873846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587675417182802,0.0,0.0,0.0,0.0,0.0,0.0
-58.641554715718556,0.0,0.9584650829541339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587550064874819,0.0,0.0,0.0,0.0,0.0,0.0
-58.141554715718556,0.0,0.9590926988090043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958693040346821,0.0,0.0,0.0,0.0,0.0,0.0
-57.641554715718556,0.0,0.9589628037486239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588307446763853,0.0,0.0,0.0,0.0,0.0,0.0
-57.141554715718556,0.0,0.9581577282790633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958808439195642,0.0,0.0,0.0,0.0,0.0,0.0
-56.641554715718556,0.0,0.95811452447602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9585585676533691,0.0,0.0,0.0,0.0,0.0,0.0
-56.141554715718556,0.0,0.9589959963182701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586647503261962,0.0,0.0,0.0,0.0,0.0,0.0
-55.641554715718556,0.0,0.9597168675930443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587895840830043,0.0,0.0,0.0,0.0,0.0,0.0
-55.141554715718556,0.0,0.9598718331813919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589713899695578,0.0,0.0,0.0,0.0,0.0,0.0
-54.641554715718556,0.0,0.9576509658605358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588700374858524,0.0,0.0,0.0,0.0,0.0,0.0
-54.141554715718556,0.0,0.9596997754285045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591870876763494,0.0,0.0,0.0,0.0,0.0,0.0
-53.641554715718556,0.0,0.9578363540681618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589551592263277,0.0,0.0,0.0,0.0,0.0,0.0
-53.141554715718556,0.0,0.9597548066408099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589627470358808,0.0,0.0,0.0,0.0,0.0,0.0
-52.641554715718556,0.0,0.9596598460458252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589203496087674,0.0,0.0,0.0,0.0,0.0,0.0
-52.141554715718556,0.0,0.9587814613153443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591464486997292,0.0,0.0,0.0,0.0,0.0,0.0
-51.641554715718556,0.0,0.9575739130027807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587212762145845,0.0,0.0,0.0,0.0,0.0,0.0
-51.141554715718556,0.0,0.9597645568799547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591069167769429,0.0,0.0,0.0,0.0,0.0,0.0
-50.641554715718556,0.0,0.9594851135084972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590529781504804,0.0,0.0,0.0,0.0,0.0,0.0
-50.141554715718556,0.0,0.9583906452527385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958799137991863,0.0,0.0,0.0,0.0,0.0,0.0
-49.641554715718556,0.0,0.9586880263413935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587804509970729,0.0,0.0,0.0,0.0,0.0,0.0
-49.141554715718556,0.0,0.9580556016074778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588767887180122,0.0,0.0,0.0,0.0,0.0,0.0
-48.641554715718556,0.0,0.9587484260682307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586735625556676,0.0,0.0,0.0,0.0,0.0,0.0
-48.141554715718556,0.0,0.9589413775269222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9585648153593527,0.0,0.0,0.0,0.0,0.0,0.0
