frames_z,transf_z_angle_deg,angles_2
0,51.7387425195169,69.12130880214289
1,42.253762076066366,72.26858669640893
2,43.38939732553655,68.12914305495809
3,55.06742805163606,69.97647842750233
4,47.99275633819376,64.1121249465914
5,43.89346614491021,76.2978882350725
6,45.188590180604045,74.04287659026076
7,46.04238968183014,88.02077081411713
8,47.433158210600745,77.18006774165299
9,35.82259557086331,86.07909611082646
10,34.077942658135264,64.88558308702298
11,33.91884901330254,77.57641818956202
12,33.243741061132184,80.57165353867806
13,24.0189239865224,76.67067304776806
14,34.468858269226416,76.3131434213355
15,27.357987216387908,76.75909547884115
16,35.26505221420985,77.32028514013344
17,34.413759691998905,77.82692868697275
18,35.37061357595624,73.37081692259407
19,37.71949231310241,82.64845316289816
20,40.39362344920527,86.15817600209085
21,42.201082938930206,89.17939803491238
22,28.074910452686403,83.90499475384874
23,42.77214380401356,78.31254360532036
24,32.220314811566524,78.55103022363544
25,31.619686580763677,89.35543383199106
26,40.84292842637024,85.3846445215371
27,31.42416501722848,76.40287770944526
28,33.021781499829416,89.92252107853646
29,37.977262481818414,75.35499495095061
30,29.75600456745962,85.54662962436444
31,29.43760367626948,72.91438292617144
32,21.91236518831141,83.14006605718599
33,22.996944911282483,74.5780715832262
34,23.051891372214484,70.42620926935724
35,21.69364361317202,80.64785107230674
36,25.29045825466502,81.39351607857651
37,25.208242186976094,80.29314590967003
38,25.0863844112112,82.3087649750098
39,23.43755457465552,81.41522118336728
40,32.78129584721118,85.80214378329408
41,24.92030296099496,88.26143588079518
42,39.16667438473366,85.51007588119056
43,36.87641324484564,80.38102340045944
44,11.86552924533721,85.70452507274666
45,16.46889213439787,82.9644757371004
46,17.888628440393173,88.49589771402633
47,30.997588359505848,86.2182420849274
48,43.03957233461375,85.6959371248504
49,45.08038045933905,89.65951557384992
50,44.19096507848449,77.75437226450973
51,40.802267404337655,80.26491609523231
52,64.00151474929947,74.21372076501352
53,53.46695734567519,77.55553513149083
54,45.85148373038674,79.20867171033122
55,55.91631305502018,74.4765125115368
56,54.56760528162168,85.76893525216822
57,53.7042733628734,87.52173050253927
58,60.24011684087695,75.89495206255843
59,65.92694233575853,85.20471141550578
60,67.68057767556525,82.28290036803641
61,79.34658726112336,83.38696133216855
62,80.95363603695972,89.61099412596856
63,69.9610494882139,89.29762194282264
64,68.83911989364184,89.1785698961767
65,74.261540709107,89.76221521940617
66,83.32223677303155,85.21001695908242
67,77.57763809910733,84.20761429490402
68,79.29942976598535,85.24479049230509
69,88.49235058298781,86.86592795468421
70,82.97794931392994,86.62235682961881
71,85.1963426041578,86.92653468477002
72,85.79946016959009,86.52522482649103
73,84.95300020571587,83.48044422657671
74,89.75054188224229,89.57233456623712
75,89.83458950025948,89.29002582198541
76,84.46783444864138,84.2050904545987
77,81.72943407107732,85.22076671669261
78,77.08071402895123,76.30160985364921
79,69.29306256359372,79.0749692557655
80,71.66954256563741,74.92337769026635
81,85.66092447545859,76.97440020287229
82,87.42029873775358,74.51351086643061
83,89.41771843889293,71.02556559483169
84,74.94589593290284,72.83426412359827
85,89.83259409235887,71.57625719786932
86,87.56183015061268,82.49957156684273
87,66.68636838948927,57.09872311284323
88,58.00680052632052,59.54418629540308
89,59.03333708186671,68.22116753695212
90,49.35088201691734,59.44211021966477
91,54.63321798625647,78.40201931390042
92,47.60009681143901,72.25656975393481
93,57.72458271511695,73.18395476193186
94,82.28730987904405,77.60329634254134
